,date,account_value
65,2022-01-04,1146760.6232281341
66,2022-01-05,1111498.46980101
67,2022-01-06,1105885.3790875091
68,2022-01-07,1095716.1292858734
69,2022-01-10,1095914.1698437347
70,2022-01-11,1109054.9477062835
71,2022-01-12,1114271.7529278412
72,2022-01-13,1085414.750257553
73,2022-01-14,1094593.490705551
74,2022-01-18,1068312.0371685638
75,2022-01-19,1053388.1789684906
76,2022-01-20,1039785.2042828217
77,2022-01-21,1019116.3305187837
78,2022-01-24,1024399.2514477387
79,2022-01-25,1000692.9382916108
80,2022-01-26,1006569.7765179292
81,2022-01-27,999636.3132305756
82,2022-01-28,1043351.0583935395
83,2022-01-31,1069566.4984112396
84,2022-02-01,1072340.0881024017
85,2022-02-02,1081056.5295391693
86,2022-02-03,1049690.2978191986
87,2022-02-04,1053916.5936871185
88,2022-02-07,1046916.8103161469
89,2022-02-08,1059859.5476208343
90,2022-02-09,1083367.7180309906
91,2022-02-10,1055039.1300793304
92,2022-02-11,1022814.4160442963
93,2022-02-14,1022484.1440716401
94,2022-02-15,1049360.1280346527
95,2022-02-16,1048303.5029736176
96,2022-02-17,1016937.3734417573
97,2022-02-18,1006636.0966015473
98,2022-02-22,997325.2269268647
99,2022-02-23,972364.2481518403
100,2022-02-24,1005579.2671642915
101,2022-02-25,1019248.5619335786
102,2022-02-28,1017399.6724529878
103,2022-03-01,997060.9684734956
104,2022-03-02,1018654.1336956635
105,2022-03-03,1006503.8651867524
106,2022-03-04,988872.8395672456
107,2022-03-07,952686.0881176606
108,2022-03-08,948063.8133221284
109,2022-03-09,985571.1417217866
110,2022-03-10,968336.1972180024
111,2022-03-11,951299.1910839692
112,2022-03-14,933668.063276352
113,2022-03-15,965034.3971844331
114,2022-03-16,996400.6289044038
115,2022-03-17,1003466.4257946626
116,2022-03-18,1024002.9659557954
117,2022-03-21,1022058.0196514741
118,2022-03-22,1036744.903623642
119,2022-03-23,1020801.1058941499
120,2022-03-24,1047329.6502819672
121,2022-03-25,1046734.302351059
122,2022-03-28,1059171.8216381683
123,2022-03-29,1081664.7531719818
124,2022-03-30,1067242.740781845
125,2022-03-31,1051431.3788433685
126,2022-04-01,1048321.9990215913
127,2022-04-04,1068234.9873333587
128,2022-04-05,1045742.0557995454
129,2022-04-06,1020999.4530163422
130,2022-04-07,1022587.2518749848
131,2022-04-08,1008297.5730877534
132,2022-04-11,982893.5066662446
133,2022-04-12,978527.3152752534
134,2022-04-13,994272.3571301118
135,2022-04-14,970125.4088421479
136,2022-04-18,973300.9043713227
137,2022-04-19,991560.0803051606
138,2022-04-20,990633.847272934
139,2022-04-21,973830.1365948335
140,2022-04-22,946573.8084850922
141,2022-04-25,960797.2693768159
142,2022-04-26,925007.007795395
143,2022-04-27,938701.0320873872
144,2022-04-28,976277.9505901948
145,2022-04-29,935591.8566418305
146,2022-05-02,949815.4197216645
147,2022-05-03,951469.4364758149
148,2022-05-04,984878.2041454926
149,2022-05-05,937510.4384136811
150,2022-05-06,929968.6493054047
151,2022-05-09,893979.6318493501
152,2022-05-10,907607.7448101655
153,2022-05-11,878962.1693401948
154,2022-05-12,869898.7992687837
155,2022-05-13,898808.9397564546
156,2022-05-16,890870.2520275727
157,2022-05-17,916671.217069687
158,2022-05-18,874728.2093639985
159,2022-05-19,865135.6070690766
160,2022-05-20,867054.0866528169
161,2022-05-23,886966.9727764741
162,2022-05-24,873801.9763317719
163,2022-05-25,883990.0287457124
164,2022-05-26,905226.148710312
165,2022-05-27,935856.4216595307
166,2022-05-31,929174.7498760835
167,2022-06-01,926396.0507794038
168,2022-06-02,948822.9687939301
169,2022-06-03,926131.5879498139
170,2022-06-06,926197.7036572114
171,2022-06-07,937245.6690197602
172,2022-06-08,926660.8201733247
173,2022-06-09,901918.3195782319
174,2022-06-10,867252.4337750092
175,2022-06-13,828815.7045117036
176,2022-06-14,834042.1154156342
177,2022-06-15,851639.6233349458
178,2022-06-16,816973.6864376679
179,2022-06-17,824449.3598385468
180,2022-06-21,845429.0387402192
181,2022-06-22,841847.2943783418
182,2022-06-23,854449.6430874482
