date,a2c,dji
2022-01-31,1069566.4984112396,1023462.903413388
2022-02-01,1072340.0881024017,1031426.9899747075
2022-02-02,1081056.5295391693,1037955.1853560493
2022-02-03,1049690.2978191986,1022859.8928441457
2022-02-04,1053916.5936871185,1022235.829820608
2022-02-07,1046916.8103161469,1022276.3415704949
2022-02-08,1059859.5476208343,1033103.3343218503
2022-02-09,1083367.7180309906,1041996.6875954616
2022-02-10,1055039.1300793304,1026659.5763517894
2022-02-11,1022814.4160442963,1011990.6813871495
2022-02-14,1022484.1440716401,1006983.2697852672
2022-02-15,1049360.1280346527,1019296.4520128081
2022-02-16,1048303.5029736176,1017706.7072209007
2022-02-17,1016937.3734417573,999579.633696399
2022-02-18,1006636.0966015473,992796.1915313601
2022-02-22,997325.2269268647,978737.931538329
2022-02-23,972364.2481518403,965195.9687622546
2022-02-24,1005579.2671642915,967878.051439453
2022-02-25,1019248.5619335786,992201.0329585845
2022-02-28,1017399.6724529878,987360.7892235103
2022-03-01,997060.9684734956,969949.9543332437
2022-03-02,1018654.1336956635,987324.3741674323
2022-03-03,1006503.8651867524,984507.5557827451
2022-03-04,988872.8395672456,979267.8844013149
2022-03-07,952686.0881176606,956037.3545645248
2022-03-08,948063.8133221284,950655.55066734
2022-03-09,985571.1417217866,969696.5283023505
2022-03-10,968336.1972180024,966428.5046134462
2022-03-11,951299.1910839692,959731.6620036429
2022-03-14,933668.063276352,959762.1596131083
2022-03-15,965034.3971844331,977215.2132090154
2022-03-16,996400.6289044038,992327.8028725561
2022-03-17,1003466.4257946626,1004495.0972816844
2022-03-18,1024002.9659557954,1012482.170847153
2022-03-21,1022058.0196514741,1006599.204740694
2022-03-22,1036744.903623642,1014012.513578833
2022-03-23,1020801.1058941499,1000933.3634061004
2022-03-24,1047329.6502819672,1011113.3061297692
2022-03-25,1046734.302351059,1015579.1575695408
2022-03-28,1059171.8216381683,1018336.5738940007
2022-03-29,1081664.7531719818,1028191.9674303739
2022-03-30,1067242.740781845,1026287.2324033914
2022-03-31,1051431.3788433685,1010251.2934741717
2022-04-01,1048321.9990215913,1014327.3900168579
2022-04-04,1068234.9873333587,1017345.7429775272
2022-04-05,1045742.0557995454,1009168.4007440506
2022-04-06,1020999.4530163422,1004953.9269882677
2022-04-07,1022587.2518749848,1007490.1218470535
2022-04-08,1008297.5730877534,1011497.257377292
2022-04-11,982893.5066662446,999464.4710815522
2022-04-12,978527.3152752534,996909.0445212752
2022-04-13,994272.3571301118,1006937.1819799184
2022-04-14,970125.4088421479,1003634.7915818405
2022-04-18,973300.9043713227,1002482.9378392716
2022-04-19,991560.0803051606,1017034.6218421602
2022-04-20,990633.847272934,1024305.6843674944
2022-04-21,973830.1365948335,1013584.2952787653
2022-04-22,946573.8084850922,984995.1761430401
2022-04-25,960797.2693768159,991930.4235731044
2022-04-26,925007.007795395,968354.405891774
2022-04-27,938701.0320873872,970153.3096620296
2022-04-28,976277.9505901948,988053.8132594957
2022-04-29,935591.8566418305,960693.5884693546
2022-05-02,949815.4197216645,963149.1012195174
2022-05-03,951469.4364758149,965109.369207019
2022-05-04,984878.2041454926,992268.2870152786
2022-05-05,937510.4384136811,961298.3059943506
2022-05-06,929968.6493054047,958425.9546491443
2022-05-09,893979.6318493501,939383.15626133
2022-05-10,907607.7448101655,936908.1273170502
2022-05-11,878962.1693401948,927392.7024682808
2022-05-12,869898.7992687837,924368.5458580491
